ID,Prediction
1,0
2,1
3,0
4,0
5,0
6,1
7,0
8,1
9,0
10,1
11,1
12,0
13,1
14,0
15,0
16,1
17,0
18,1
19,1
20,1
21,0
22,1
23,0
24,0
25,1
26,0
27,1
28,0
29,0
30,1
31,1
32,0
33,1
34,1
35,1
36,1
37,1
38,0
39,0
40,0
41,1
42,1
43,1
44,0
45,1
46,0
47,1
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,1
56,0
57,1
58,1
59,1
60,0
61,0
62,0
63,1
64,1
65,0
66,1
67,0
68,1
69,1
70,0
71,0
72,0
73,0
74,0
75,0
76,1
77,1
78,1
79,0
80,0
81,1
82,1
83,1
84,1
85,0
86,0
87,1
88,1
89,0
90,1
91,1
92,0
93,1
94,1
95,0
96,0
97,0
98,0
99,1
100,1
101,0
102,1
103,0
104,0
105,1
106,1
107,0
108,0
109,1
110,1
111,0
112,1
113,1
114,1
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,1
124,1
125,1
126,1
127,1
128,0
129,0
130,0
131,0
132,1
133,1
134,0
135,1
136,1
137,1
138,0
139,1
140,1
141,1
142,0
143,0
144,0
145,0
146,1
147,1
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,1
159,1
160,0
161,1
162,1
163,1
164,0
165,0
166,0
167,1
168,1
169,0
170,0
171,1
172,0
173,1
174,0
175,1
176,0
177,1
178,1
179,0
180,0
181,1
182,1
183,1
184,0
185,0
186,0
187,1
188,0
189,1
190,0
191,1
192,0
193,1
194,1
195,1
196,0
197,0
198,1
199,0
200,1
201,1
202,0
203,1
204,1
205,0
206,1
207,1
208,1
209,0
210,1
211,1
212,1
213,0
214,1
215,1
216,0
217,1
218,1
219,1
220,0
221,1
222,0
223,1
224,0
225,1
226,0
227,0
228,0
229,1
230,0
231,0
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,0
241,0
242,0
243,1
244,0
245,1
246,1
247,1
248,0
249,1
250,1
251,1
252,0
253,0
254,1
255,1
256,0
257,1
258,1
259,0
260,0
261,0
262,0
263,1
264,0
265,1
266,0
267,0
268,0
269,0
270,1
271,0
272,1
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,1
281,1
282,1
283,0
284,1
285,1
286,1
287,0
288,1
289,1
290,0
291,1
292,0
293,0
294,1
295,1
296,0
297,1
298,1
299,0
300,1
301,0
302,1
303,0
304,0
305,0
306,1
307,1
308,0
309,0
310,0
311,1
312,1
313,1
314,1
315,1
316,0
317,1
318,1
319,1
320,1
321,0
322,0
323,1
324,0
325,0
326,1
327,0
328,0
329,0
330,1
331,1
332,1
333,0
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,0
343,0
344,0
345,1
346,0
347,1
348,1
349,0
350,0
351,0
352,1
353,1
354,1
355,0
356,1
357,1
358,1
359,1
360,1
361,0
362,1
363,0
364,1
365,1
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,1
375,0
376,1
377,1
378,0
379,1
380,0
381,0
382,0
383,1
384,1
385,1
386,0
387,1
388,0
389,0
390,1
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,0
399,1
400,1
401,0
402,0
403,1
404,1
405,0
406,0
407,0
408,1
409,0
410,1
411,1
412,0
413,1
414,0
415,1
416,1
417,1
418,1
419,1
